"id_buffer","categoria_bruta","pixels","percentagem","Categoria_Limpa","Cores"
1,"Formação Florestal",494,55.9456398640997,"Formação Florestal","#006400"
1,"Formação Savânica",332,37.599093997735,"Formação Savânica","#7cfc00"
1,"Pastagem",50,5.66251415628539,"Pastagem","#ffff00"
1,"Mosaico de Usos",7,0.792751981879955,"Mosaico de Usos","#f4a460"
2,"Formação Florestal",209,23.75,"Formação Florestal","#006400"
2,"Formação Savânica",439,49.8863636363636,"Formação Savânica","#7cfc00"
2,"Pastagem",169,19.2045454545455,"Pastagem","#ffff00"
2,"Mosaico de Usos",63,7.15909090909091,"Mosaico de Usos","#f4a460"
3,"Formação Florestal",192,21.7194570135747,"Formação Florestal","#006400"
3,"Formação Savânica",645,72.9638009049774,"Formação Savânica","#7cfc00"
3,"Pastagem",47,5.31674208144796,"Pastagem","#ffff00"
4,"Formação Florestal",267,30.1354401805869,"Formação Florestal","#006400"
4,"Formação Savânica",611,68.961625282167,"Formação Savânica","#7cfc00"
4,"Pastagem",8,0.90293453724605,"Pastagem","#ffff00"
5,"Formação Florestal",44,5.01138952164009,"Formação Florestal","#006400"
5,"Formação Savânica",428,48.74715261959,"Formação Savânica","#7cfc00"
5,"Pastagem",399,45.4441913439636,"Pastagem","#ffff00"
5,"Mosaico de Usos",7,0.797266514806378,"Mosaico de Usos","#f4a460"
6,"Formação Florestal",419,47.3981900452489,"Formação Florestal","#006400"
6,"Formação Savânica",439,49.6606334841629,"Formação Savânica","#7cfc00"
6,"Pastagem",1,0.113122171945701,"Pastagem","#ffff00"
6,"Corpo d'Água",25,2.82805429864253,"Corpo d'Água","#0000ff"
7,"Formação Florestal",148,16.8181818181818,"Formação Florestal","#006400"
7,"Formação Savânica",546,62.0454545454545,"Formação Savânica","#7cfc00"
7,"Pastagem",186,21.1363636363636,"Pastagem","#ffff00"
8,"Formação Florestal",77,8.74006810442679,"Formação Florestal","#006400"
8,"Formação Savânica",485,55.0510783200908,"Formação Savânica","#7cfc00"
8,"Pastagem",302,34.2792281498297,"Pastagem","#ffff00"
8,"Mosaico de Usos",17,1.92962542565267,"Mosaico de Usos","#f4a460"
9,"Formação Florestal",54,6.11551528878822,"Formação Florestal","#006400"
9,"Formação Savânica",471,53.3408833522084,"Formação Savânica","#7cfc00"
9,"Pastagem",358,40.5436013590034,"Pastagem","#ffff00"
10,"Formação Florestal",482,54.6485260770975,"Formação Florestal","#006400"
10,"Formação Savânica",395,44.7845804988662,"Formação Savânica","#7cfc00"
10,"Pastagem",5,0.566893424036281,"Pastagem","#ffff00"
11,"Formação Florestal",24,2.71800679501699,"Formação Florestal","#006400"
11,"Formação Savânica",124,14.0430351075878,"Formação Savânica","#7cfc00"
11,"Pastagem",674,76.3306908267271,"Pastagem","#ffff00"
11,"Mosaico de Usos",61,6.90826727066818,"Mosaico de Usos","#f4a460"
12,"Formação Florestal",198,22.3981900452489,"Formação Florestal","#006400"
12,"Formação Savânica",682,77.1493212669683,"Formação Savânica","#7cfc00"
12,"Pastagem",3,0.339366515837104,"Pastagem","#ffff00"
12,"Mosaico de Usos",1,0.113122171945701,"Mosaico de Usos","#f4a460"
